,Experiment,Group,Target,Inputs,MSE,RMSE,MAE,MAPE,Pearson_r
tcn,"MAP ← HR,O2Sat,Resp,Temp",1,MAP,"HR,O2Sat,Resp,Temp",246.3287,15.6949,12.0836,14.7881,0.2252
conv_lstm,"MAP ← HR,O2Sat,Resp,Temp",1,MAP,"HR,O2Sat,Resp,Temp",246.9464,15.7145,12.1024,14.8228,0.2203
unet1d,"MAP ← HR,O2Sat,Resp,Temp",1,MAP,"HR,O2Sat,Resp,Temp",247.3129,15.7262,12.0952,14.7699,0.217
lstm_seq2seq,"MAP ← HR,O2Sat,Resp,Temp",1,MAP,"HR,O2Sat,Resp,Temp",247.9955,15.7479,12.151,14.9032,0.2107
bilstm,"MAP ← HR,O2Sat,Resp,Temp",1,MAP,"HR,O2Sat,Resp,Temp",249.6278,15.7996,12.2241,15.0324,0.1961
transformer,"MAP ← HR,O2Sat,Resp,Temp",1,MAP,"HR,O2Sat,Resp,Temp",250.0333,15.8124,12.1802,14.8818,0.1907
LinearRegression,"MAP ← HR,O2Sat,Resp,Temp",1,MAP,"HR,O2Sat,Resp,Temp",256.6183,16.0193,12.4158,15.2408,0.1054
TargetMean,"MAP ← HR,O2Sat,Resp,Temp",1,MAP,"HR,O2Sat,Resp,Temp",259.4464,16.1073,12.4946,15.3278,
MeanImputation,"MAP ← HR,O2Sat,Resp,Temp",1,MAP,"HR,O2Sat,Resp,Temp",861.9657,29.3593,24.6511,27.2825,0.066
LinearInterp,"MAP ← HR,O2Sat,Resp,Temp",1,MAP,"HR,O2Sat,Resp,Temp",865.5005,29.4194,24.6595,27.2593,0.0308
ForwardFill,"MAP ← HR,O2Sat,Resp,Temp",1,MAP,"HR,O2Sat,Resp,Temp",870.6682,29.5071,24.7118,27.3241,0.0187
tcn,"SBP ← HR,O2Sat,Resp,Temp",1,SBP,"HR,O2Sat,Resp,Temp",519.562,22.7939,18.2238,15.1893,0.2306
conv_lstm,"SBP ← HR,O2Sat,Resp,Temp",1,SBP,"HR,O2Sat,Resp,Temp",522.8934,22.8669,18.284,15.2207,0.2167
unet1d,"SBP ← HR,O2Sat,Resp,Temp",1,SBP,"HR,O2Sat,Resp,Temp",524.7443,22.9073,18.3491,15.3532,0.2127
lstm_seq2seq,"SBP ← HR,O2Sat,Resp,Temp",1,SBP,"HR,O2Sat,Resp,Temp",525.5015,22.9238,18.3394,15.2972,0.2059
bilstm,"SBP ← HR,O2Sat,Resp,Temp",1,SBP,"HR,O2Sat,Resp,Temp",525.9191,22.9329,18.3551,15.3182,0.2045
transformer,"SBP ← HR,O2Sat,Resp,Temp",1,SBP,"HR,O2Sat,Resp,Temp",526.9613,22.9556,18.3479,15.2729,0.1988
LinearRegression,"SBP ← HR,O2Sat,Resp,Temp",1,SBP,"HR,O2Sat,Resp,Temp",543.7291,23.318,18.7186,15.6395,0.0998
TargetMean,"SBP ← HR,O2Sat,Resp,Temp",1,SBP,"HR,O2Sat,Resp,Temp",548.8164,23.4268,18.8021,15.719,
MeanImputation,"SBP ← HR,O2Sat,Resp,Temp",1,SBP,"HR,O2Sat,Resp,Temp",4783.6436,69.1639,64.8782,50.4971,-0.0185
LinearInterp,"SBP ← HR,O2Sat,Resp,Temp",1,SBP,"HR,O2Sat,Resp,Temp",4789.2695,69.2045,64.8772,50.4717,-0.056
ForwardFill,"SBP ← HR,O2Sat,Resp,Temp",1,SBP,"HR,O2Sat,Resp,Temp",4798.7383,69.2729,64.9003,50.4794,-0.0715
tcn,"DBP ← HR,O2Sat,Resp,Temp",1,DBP,"HR,O2Sat,Resp,Temp",176.8383,13.2981,10.1555,16.6041,0.273
conv_lstm,"DBP ← HR,O2Sat,Resp,Temp",1,DBP,"HR,O2Sat,Resp,Temp",178.0121,13.3421,10.2077,16.7286,0.2641
unet1d,"DBP ← HR,O2Sat,Resp,Temp",1,DBP,"HR,O2Sat,Resp,Temp",178.0903,13.345,10.1744,16.5655,0.26
bilstm,"DBP ← HR,O2Sat,Resp,Temp",1,DBP,"HR,O2Sat,Resp,Temp",178.4871,13.3599,10.2134,16.6898,0.2563
lstm_seq2seq,"DBP ← HR,O2Sat,Resp,Temp",1,DBP,"HR,O2Sat,Resp,Temp",178.7673,13.3704,10.2221,16.7082,0.2535
transformer,"DBP ← HR,O2Sat,Resp,Temp",1,DBP,"HR,O2Sat,Resp,Temp",181.6627,13.4782,10.3405,16.9465,0.2234
LinearRegression,"DBP ← HR,O2Sat,Resp,Temp",1,DBP,"HR,O2Sat,Resp,Temp",184.8164,13.5947,10.4404,17.0459,0.1803
